"","LIST-ID","EDCS-ID","EDH-ID","not_before","not_after","transcription","clean_text_interpretive_word","type_of_inscription_clean","type_of_inscription_auto","type_of_monument_clean","province","province_label_clean","place","findspot_ancient_clean","findspot_modern_clean","status_notation","Latitude","Longitude"
"380",468321,"EDCS-27400587","HD053361",1,150,"Q(uintus) Statius La/etus Q(uinto) Sta/tio Paquar(ius) / [i]tem L(ucio) Statio / Clarif[---] / [------?","Quintus Statius Laetus Quinto Statio Paquarius item Lucio Statio Clarif","epitaph","epitaph","NULL","Dalmatia","Dalmatia","Cavtat / Epidaurum","Epidaurum","Konavle","tria nomina, viri","42.5848","18.2137"
"381",468322,"EDCS-27400599","HD053362",1,150,"Tertia / Ismarniensis / ann(orum) XL / h(ic) s(ita) e(st)","Tertia Ismarniensis annorum XL hic sita est","epitaph","epitaph","cliff","Dalmatia","Dalmatia","Cavtat / Epidaurum","Epidaurum","Konavle","mulieres, tria nomina","42.5848","18.2137"
"382",468323,"EDCS-27400588","HD053363",301,600,"Conubii decus egregium lux alma parentum / eximiumq(ue) bonum corporis atq(ue) animi / invidia fati rapitur Vincentia florens / et nunc ante patrem conditur Helionem / quin potius corpus nam mens aeterna profecto / pro meritis potitur sedibus Elysiis","Conubii decus egregium lux alma parentum eximium que bonum corporis at que animi invidia fati rapitur Vincentia florens et nunc ante patrem conditur Helionem quin potius corpus nam mens aeterna profecto pro meritis potitur sedibus Elysiis","epitaph","epitaph","NULL","Dalmatia","Dalmatia","Cavtat / Epidaurum","Epidaurum","Konavle","mulieres, nomen singulare, viri","42.5848","18.2137"
"383",468324,"EDCS-27400600","HD053364",201,600,"------] / [--- an]n(orum) XXV h(ic) s(ita) e(st) / [---]nius posuit / e suo / [co]ntubernali / [s]uae bene / [me]renti a se / [et te terr]a precor leviter / [super] ossa residas / [senti]at ut pietas / [prae]mia quae meruit","annorum XXV hic sita est nius posuit e suo contubernali suae bene merenti a se et te terra precor leviter super ossa residas sentiat ut pietas praemia quae meruit","epitaph","epitaph","NULL","Dalmatia","Dalmatia","Cavtat / Epidaurum","Epidaurum","Konavle","servi/servae, viri","42.5848","18.2137"
"384",468325,"EDCS-31500388","HD062032",151,300,"Dianae Lauci(?) sacr(um) in / memoriam L(uci) Iuli Elpidi/ani [---] / [------","Dianae Lauci sacrum in memoriam Luci Iuli Elpidiani","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Cavtat / Epidaurum","Epidaurum","Konavle","tria nomina, viri","42.5848","18.2137"
"385",468326,"EDCS-31500389","HD062031",1,151,"------](?) / M(arcus) Annius M(arci) f(ilius) Triarius / pr(aefectus) mil(itum) [---] / [------?","Marcus Annius Marci filius Triarius praefectus militum","NULL",NA,"NULL","Dalmatia","Dalmatia","Cavtat / Epidaurum","Epidaurum","Konavle","milites, ordo equester, ordo senatorius, tria nomina, viri","42.5848","18.2137"
"386",468327,"EDCS-31500390","HD062029",-30,150,"[- A]quilio / [-- Tr]om(entina) Aqui/[lin]o aedili / [IIv]iro iure / [d]icundo / [II]viro qui/[nquennali] / [------?","Aquilio Tromentina Aquilino aedili II viro iure dicundo II viro quinquennali","honorific inscription","honorific inscription","statue base","Dalmatia","Dalmatia","Cavtat / Epidaurum","Epidaurum","Konavle","ordo decurionum, tria nomina, viri","42.5848","18.2137"
"387",468328,"EDCS-31500391","HD062027",151,300,"D(is) [M(anibus)] / Q(uinto) Fulv[io ---] / [---] IIvir[o ---] / et Taurae(?) [---] / [--](?) uxsori(!) A[---] / [-](?) Taurus(?) [---] / [-](?) ETF(?)R[---] / [------","Dis Manibus Quinto Fulvio II viro et Taurae uxsori A Taurus ETFR","epitaph","epitaph","NULL","Dalmatia","Dalmatia","Cavtat / Epidaurum","NULL","Konavle","milites, mulieres, ordo decurionum, viri","42.5814314","18.2177461"
"388",468329,"EDCS-31900259","HD062022",1,150,"[---]nta Trav/[--- a]nn(orum) LV / [---]millus(?) / [---]cus uxori","nta Trav annorum LV millus cus uxori","epitaph","epitaph","NULL","Dalmatia","Dalmatia","Cavtat / Epidaurum","Epidaurum","Konavle","mulieres, tria nomina, viri","42.5848","18.2137"
"389",468330,"EDCS-31900260","HD061773",151,300,"D(is) M(anibus) / Fortunatae / an(norum) XVIII et / Rufo an(norum) XII / Restutianus / Valentini et / Crescentilla / [f]ili(i)s infelic(ibus)","Dis Manibus Fortunatae annorum XVIII et Rufo annorum XII Restutianus Valentini et Crescentilla filiis infelicibus","epitaph","epitaph","NULL","Dalmatia","Dalmatia","Cavtat / Epidaurum","NULL","Ston","mulieres, nomen singulare, tria nomina, viri","42.5814314","18.2177461"
"390",468331,"EDCS-31900261","HD062020",1,150,"[---]A f(ili-) / sibi et libertae Ius/tinae et fratri Basi/liano sae(!) vibis(!) fecit","A fili sibi et libertae Iustinae et fratri Basiliano sae vibis fecit","epitaph","epitaph","NULL","Dalmatia","Dalmatia","Cavtat / Epidaurum","Epidaurum","Konavle","liberti/libertae, mulieres, nomen singulare, viri","42.5848","18.2137"
"391",468332,"EDCS-31900262","HD062019",151,300,"Persil[iae con]/iugi incomparabil(i) / M(arcus) Lollius(?) Silva(nus?) ma/ritus aeius(!) vivus / fecit","Persiliae coniugi incomparabili Marcus Lollius Silvanus maritus aeius vivus fecit","epitaph","epitaph","NULL","Dalmatia","Dalmatia","Cavtat / Epidaurum","Epidaurum","Konavle","mulieres, nomen singulare, tria nomina, viri","42.5848","18.2137"
"392",468333,"EDCS-31900263","HD062018",1,150,"Sevidolio lib(erto)","Sevidolio liberto","epitaph","epitaph","NULL","Dalmatia","Dalmatia","Cavtat / Epidaurum","Epidaurum","Konavle","liberti/libertae, nomen singulare, viri","42.5848","18.2137"
"393",468334,"EDCS-31900264","HD062017",201,600,"------]L(?)TAMISSI |(denari---) m[i]l(le)(?)[------?","LTAMISSI denari mille","epitaph","epitaph","sarcophagus","Dalmatia","Dalmatia","Cavtat / Epidaurum","Epidaurum","Konavle",NA,"42.5848","18.2137"
"394",468335,"EDCS-10000652","HD016150",14,20,"------?] / [P(ublio)] Dolabella / leg(ato) pro pr(aetore) / coh(ors) VI vol(untariorum) / trib(uno) L(ucio) Purtisio Atinate / [---]ilio C(aio) Saenio IIvir(is) / [------?","Publio Dolabella legato pro praetore cohors VI voluntariorum tribuno Lucio Purtisio Atinate ilio Caio Saenio II viris","building/dedicatory inscription","building/dedicatory inscription","block","Dalmatia","Dalmatia","Cavtat / Epidaurum","Epidaurum","Konavle","milites, ordo decurionum, ordo equester, ordo senatorius, tria nomina, viri","42.5848","18.2137"
"395",468336,"EDCS-10000653","HD033899",1,300,"L(ucius) T[---] / Celer[---] / v[---] / L(---) Fu[---] / su[---] / o[---]","Lucius T Celer v L Fu su o","NULL",NA,"tabula","Dalmatia","Dalmatia","Cavtat / Epidaurum","Epidaurum","Konavle","viri","42.5848","18.2137"
"396",468337,"EDCS-10000654","HD033900",101,300,"D(is) M(anibus) s(acrum) / [---]cari / [------","Dis Manibus sacrum cari","epitaph","epitaph","stele","Dalmatia","Dalmatia","Cavtat / Epidaurum","Epidaurum","Konavle",NA,"42.5848","18.2137"
"397",468338,"EDCS-10000655","HD034115",1,300,"------]ITA[-]RAV[---] / [--- a]nn(orum?) LV [---] / [---]aritus(?) [---] / [---]us uxori [------?","ITA RAV annorum LV aritus us uxori","epitaph","epitaph","NULL","Dalmatia","Dalmatia","Cavtat / Epidaurum","Epidaurum","Konavle","mulieres, viri","42.5848","18.2137"
"398",468339,"EDCS-10100815","HD034159",1,300,"I(ovi) O(ptimo) M(aximo) / v(otum) s(olvit) / O[------","Iovi Optimo Maximo votum solvit O","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Cavtat / Epidaurum","Epidaurum","Konavle",NA,"42.5848","18.2137"
"399",468340,"EDCS-10100816","HD034160",1,300,"D(is) M(anibus) s(acrum) / [---]cari[---] / [------","Dis Manibus sacrum cari","epitaph","epitaph","NULL","Dalmatia","Dalmatia","Cavtat / Epidaurum","Epidaurum","Konavle",NA,"42.5848","18.2137"
"400",468341,"EDCS-10100817","HD034161",101,300,"Posuit u{x}/xor marit/o titulum / bene mori/entissima / [------","Posuit uxxor marito titulum bene morientissima","epitaph","epitaph","stele","Dalmatia","Dalmatia","Cavtat / Epidaurum","Epidaurum","Dubrovnik","mulieres, viri","42.5848","18.2137"
"401",468342,"EDCS-10100557","HD023070",1,300,"Term(ino) // Lib(ero) P(atri) // I(ovi) O(ptimo) M(aximo)","Termino Libero Patri Iovi Optimo Maximo","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Celija / Municipium Splonistarum","NULL","Foča-Ustikolina",NA,"44.8813889","18.2183333"
"402",468343,"EDCS-10100558","HD023073",1,300,"Term(ino) [------","Termino","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Celija / Municipium Splonistarum","NULL","Foča-Ustikolina",NA,"44.8813889","18.2183333"
"403",468344,"EDCS-10100559","HD033829",1,300,"------]ae // [---]cate(?) // [------]","ae cate","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Celija / Municipium Splonistarum","NULL","Foča-Ustikolina","mulieres","44.8813889","18.2183333"
"404",468345,"EDCS-10100560","HD033830",1,300,"------]/mio [--- vixi]/t an[nos? ---]","mio vixit annos","epitaph","epitaph","tabula","Dalmatia","Dalmatia","Celija / Municipium Splonistarum","NULL","Foča-Ustikolina","viri","44.8813889","18.2183333"
"405",468346,"EDCS-10100561","HD033831",1,300,"------]s","s","epitaph","epitaph","tabula","Dalmatia","Dalmatia","Celija / Municipium Splonistarum","NULL","Foča-Ustikolina",NA,"44.8813889","18.2183333"
"406",468347,"EDCS-31900303","HD052161",1,300,"Dian(ae) / Aug(ustae) / sacr(um) // Silvan(o) / Aug(usto) / sacr(um)","Dianae Augustae sacrum Silvano Augusto sacrum","votive inscription","votive inscription","relief","Dalmatia","Dalmatia","Cerin","NULL","Čitluk",NA,"43.2727063","17.6414199"
"407",468348,"EDCS-31400593","HD057656",201,600,"------] / CC[-]A(?) / CL(?)AVI(?)[-] / [------","CC A CLAVI","mile-/leaguestone","mile-/leaguestone","mile-/leaguestone","Dalmatia","Dalmatia","Cicje Polje","Municipium S[---]","Prijepolje - Pljevlja, zwischen",NA,"43.3424","19.3204"
"408",468349,"EDCS-10101958","HD035312",171,300,"D(is) [M(anibus)] / Iuliae inf[elicissimae] / def(unctae) anno[rum ------","Dis Manibus Iuliae infelicissimae defunctae annorum","epitaph","epitaph","sarcophagus","Dalmatia","Dalmatia","Ciovo, Otok / Boa","Boa, insula","Split","mulieres, nomen singulare","43.4995","16.3388"
"409",468350,"EDCS-09001560","HD005425",151,250,"Romae Aug(ustae) sac(rum) / Cornelia Nobilis v(otum) s(olvit)","Romae Augustae sacrum Cornelia Nobilis votum solvit","votive inscription","votive inscription","statue base","Dalmatia","Dalmatia","Citluk / Aequum","Aequum","Sinj","mulieres, tria nomina","43.7423","16.6547"
"410",468351,"EDCS-28300053","HD061978",1,150,"I(ovi) O(ptimo) M(aximo) / M(arcus) Plaetori/us Albanus / posuit","Iovi Optimo Maximo Marcus Plaetorius Albanus posuit","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Citluk / Aequum","Aequum","Sinj","tria nomina, viri","43.7423","16.6547"
"411",468352,"EDCS-28300054","HD061979",1,300,"Iovi [---] / L(ucius) Se[---] / [------]","Iovi Lucius Se","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Citluk / Aequum","Aequum","Sinj","viri","43.7423","16.6547"
"412",468353,"EDCS-28300055","HD061980",1,150,"Libero Aug(usto) / sacrum / L(ucius) Aebutius L(uci) f(ilius) / Ser(gia) Celer ae[d(ilis)] / IIvir i(uri) d(icundo) ex pe[c(unia) p(ublica)]","Libero Augusto sacrum Lucius Aebutius Luci filius Sergia Celer aedilis II vir iuri dicundo ex pecunia publica","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Citluk / Aequum","Aequum","Sinj","ordo decurionum, tria nomina, viri","43.7423","16.6547"
"413",468354,"EDCS-28300056","HD061981",119,200,"Diva[e] Mat[idiae] / divi Ha[driani ---] / [------?","Divae Matidiae divi Hadriani","honorific inscription","honorific inscription","NULL","Dalmatia","Dalmatia","Citluk / Aequum","Aequum","Sinj","Augusti/Augustae, mulieres","43.7423","16.6547"
"414",468355,"EDCS-28300057","HD061983",180,180,"Cn(aeo) Iulio Cn(aei) / fil(io) Vero co(n)s(uli) / desig(nato) II augur(i) / leg(ato) A[ug(usti)] pr(o) pr(aetore) / provinc(iae) Syriae / leg(ato) Aug(usti) pr(o) pr(aetore) / provinc(iae) Brittan(n)iae / leg(ato) Aug(usti) pr(o) pr(aetore) pro/vinciae German(iae) / inferioris praef(ecto) / aerari(i) Saturni / leg(ato) leg(ionis) XXX Ulp[iae] / praetor(i) tribu[no] / plebis quae[stori] / Aug(usti) [tribuno la]ti/[clavio leg(ionis) X fre]ten/[sis triumviro] / [a(ere) a(rgento)] a(uro) f(lando) f(eriundo) / Aequenses / municipes","Cnaeo Iulio Cnaei filio Vero consuli designato II auguri legato Augusti pro praetore provinciae Syriae legato Augusti pro praetore provinciae Brittanniae legato Augusti pro praetore provinciae Germaniae inferioris praefecto aerarii Saturni legato legionis XXX Ulpiae praetori tribuno plebis quaestori Augusti tribuno laticlavio legionis X fretensis triumviro aere argento auro flando feriundo Aequenses municipes","honorific inscription","honorific inscription","NULL","Dalmatia","Dalmatia","Citluk / Aequum","Aequum","Sinj","milites, ordo senatorius, sacerdotes pagani, tria nomina, viri","43.7423","16.6547"
"415",468356,"EDCS-28300058","HD005641",42,100,"Sex(tus) Iu[lius Sex(ti) f(ilius)] / Ani(ensis) Silva[nus Foro Iuli(i)] / summus c[urat(or) c(ivium) R(omanorum) prov(inciae) Dalm(atiae)] / suffragio [eorum factus ex cent(urione)] / leg(ionis) VII C(laudiae) p(iae) f(idelis) aed[ilis col(oniae) Claudiae Aequi ab] / ordine primus [post col(oniam) deduct(am) creatus] / IIIIvir i(ure) d(icundo) pont(ifex) [in col(onia) Salonitan(orum)] / in ag&lt;ro=CE&gt; p(edes) [--- in fronte p(edes) ---] / h(oc) s(epulcrum) h(eredem) [n(on) s(equetur)] ","Sextus Iulius Sexti filius Aniensis Silvanus Foro Iulii summus curator civium Romanorum provinciae Dalmatiae suffragio eorum factus ex centurione legionis VII Claudiae piae fidelis aedilis coloniae Claudiae Aequi ab ordine primus post coloniam deductam creatus IIII vir iure dicundo pontifex in colonia Salonitanorum in ag lt roE gt pedes in fronte pedes hoc sepulcrum heredem non sequetur","epitaph","epitaph","NULL","Dalmatia","Dalmatia","Citluk / Aequum","Aequum","Sinj","milites, ordo decurionum, tria nomina, viri","43.7423","16.6547"
"416",468357,"EDCS-28300059","HD061984",14,150,"C(aius) Iulius C(ai) l(ibertus) Crescens IIIIIIvir / vivus fecit sibi et / Iuliae Anthusae coniugi / C(aio) Iulio Maximo filio","Caius Iulius Cai libertus Crescens IIIIII vir vivus fecit sibi et Iuliae Anthusae coniugi Caio Iulio Maximo filio","epitaph","epitaph","NULL","Dalmatia","Dalmatia","Citluk / Aequum","Aequum","Sinj","liberti/libertae, mulieres, seviri Augustales, tria nomina, viri","43.7423","16.6547"
"417",468358,"EDCS-28300060","HD061985",151,300,"P(ublius) Ael(ius) Verus Ael(iae) / Trioni matri pi/entissimae d(e)f(unctae) an(norum) / LXX et sibi p(osuit)","Publius Aelius Verus Aeliae Trioni matri pientissimae defunctae annorum LXX et sibi posuit","epitaph","epitaph","NULL","Dalmatia","Dalmatia","Citluk / Aequum","Aequum","Sinj","mulieres, tria nomina, viri","43.7423","16.6547"
"418",468359,"EDCS-28300061","HD061986",151,300,"------](?) / [om?]nibus P(ublii?) Apienn(ii)(?) / [N]epos et Surus / [------?","omnibus Publii Apiennii Nepos et Surus","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Citluk / Aequum","Aequum","Sinj","tria nomina, viri","43.7423","16.6547"
"419",468360,"EDCS-28300062","HD061990",201,300,"Cornelia Ferocilla / Corneliae Ferocillae / obsequentissimae filiae / mater et matertera / deposuerunt","Cornelia Ferocilla Corneliae Ferocillae obsequentissimae filiae mater et matertera deposuerunt","epitaph","epitaph","NULL","Dalmatia","Dalmatia","Citluk / Aequum","Aequum","Sinj","mulieres, tria nomina","43.7423","16.6547"
"420",468361,"EDCS-28300063","HD061991",201,300,"D(is) M(anibus) / Cornelia / Ferocilla et / Coelia Ocla/tia Coeliae Mar/cellae def(unctae) ann(orum) / XXXV mater et / matertera fi/liae infelicis/sim(a)e et obs/equentissi/m(a)e posu/erunt","Dis Manibus Cornelia Ferocilla et Coelia Oclatia Coeliae Marcellae defunctae annorum XXXV mater et matertera filiae infelicissimae et obsequentissimae posuerunt","epitaph","epitaph","NULL","Dalmatia","Dalmatia","Citluk / Aequum","Aequum","Sinj","mulieres, tria nomina","43.7423","16.6547"
"421",468362,"EDCS-28300064","HD061976",301,400,"D(is) [M(anibus)] // virgi(nius) Sec/undinus / def(unctus) an(norum) XL / St&lt;e&gt;rcorina / an(norum) II Tertulla / inco(m)parabi(libus) / RAVENVR[---](?)","Dis Manibus virginius Secundinus defunctus annorum XL St lt e gt rcorina annorum II Tertulla incomparabilibus RAVENVR","epitaph","epitaph","NULL","Dalmatia","Dalmatia","Citluk / Aequum","Aequum","Sinj","mulieres, nomen singulare, tria nomina, viri","43.7423","16.6547"
"422",468363,"EDCS-28300065","HD061992",1,150,"Vettia C(ai) fil(ia) Tertullina / v(iva) f(ecit) sibi et Sex(to) Iulio Nostro / marito optimo / h(oc) m(onumentum) h(eredem) n(on) s(equetur)","Vettia Cai filia Tertullina viva fecit sibi et Sexto Iulio Nostro marito optimo hoc monumentum heredem non sequetur","epitaph","epitaph","NULL","Dalmatia","Dalmatia","Citluk / Aequum","Aequum","Sinj","mulieres, tria nomina, viri","43.7423","16.6547"
"423",468364,"EDCS-28300066","HD061993",201,300,"D(is) M(anibus) / Vipsanius Terentius / Aureli(a)e Victorinae / co(n)iugi carissimae / virgini(a)e posuit et / sibi quae vixit me/cu(m) annos VIIII m(enses) V / def(unctae) an(norum) XXIII","Dis Manibus Vipsanius Terentius Aureliae Victorinae coniugi carissimae virginiae posuit et sibi quae vixit mecum annos VIIII menses V defunctae annorum XXIII","epitaph","epitaph","NULL","Dalmatia","Dalmatia","Citluk / Aequum","Aequum","Sinj","mulieres, tria nomina, viri","43.7423","16.6547"
"424",468365,"EDCS-28300067","HD061947",1,50,"[---]C(?)[---] / [------ // [--- Co]rnel[i---] / [------ // ------] / [---]L(?)V[---] / [---]NA M(?)[---] / [------? // ------]LIT[------ // ------] / [---]A(?)I(?)[---] / [---]TIS[---] / [------","C Corneli LV NA M LIT AI TIS","NULL",NA,"NULL","Dalmatia","Dalmatia","Citluk / Aequum","Aequum","Sinj",NA,"43.7423","16.6547"
"425",468366,"EDCS-30800085","HD056525",201,300,"Isante Suro coniugi inconparab(ili)(!) / D(is) M(anibus) Victorin(a)e Ann(a)e / bene merenti pr(a)ecepto / dom(i)nico factum mise/ram parentes perded[e]/runt(!) annis trigi&lt;n=T&gt;t[a] ","Isante Suro coniugi inconparabili Dis Manibus Victorinae Annae bene merenti praecepto dominico factum miseram parentes perdederunt annis trigi lt n gt ta","epitaph","epitaph","stele","Dalmatia","Dalmatia","Citluk / Aequum","NULL","Čitluk","mulieres, tria nomina, viri","43.7425382","16.6534966"
"426",468367,"EDCS-30100415","HD057988",1,300,"------]us L(uci) f(ilius) [---] / [---]tinus [---] / [---] ex pec[unia] / [honor]aria IIvi[ratus] / [d]edicatio[nis ---] / [---]LIIA M[------","us Luci filius tinus ex pecunia honoraria II viratus dedicationis LIIA M","honorific inscription","honorific inscription","NULL","Dalmatia","Dalmatia","Citluk / Aequum","Aequum","Sinj","ordo decurionum, tria nomina, viri","43.7423","16.6547"
"427",468368,"EDCS-30100416","HD061975",171,300,"Iun(oni) // Aurel(ius) Ne/pos ob ho(no)r(em) / du(u)mver(atus)(!) / Firmi et / Maximi fi/lior(um) / vo(tum) p(ater?) l(ibens) s(olvit)","Iunoni Aurelius Nepos ob honorem duumveratus Firmi et Maximi filiorum votum pater libens solvit","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Citluk / Aequum","Aequum","Sinj","nomen singulare, ordo decurionum, tria nomina, viri","43.7423","16.6547"
"428",468369,"EDCS-30100417","HD061974",1,300,"[---]i Aug(ust-) [---] / [------","i August","NULL",NA,"NULL","Dalmatia","Dalmatia","Citluk / Aequum","Aequum","Sinj","Augusti/Augustae","43.7423","16.6547"
"429",468370,"EDCS-30100418","HD061973",151,300,"Libero Pa[tri] / sacrum / T(itius?) Eut(h)imus(!) / Gabalus v(otum) s(olvit) l(ibens)","Libero Patri sacrum Titius Euthimus Gabalus votum solvit libens","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Citluk / Aequum","Aequum","Hrvace","tria nomina, viri","43.7423","16.6547"
"430",468372,"EDCS-30100420","HD053388",1,300,"[Nymphi]s et Silvano // [---]V(?)ANEC(?)[-]S v(oto) l(ibens) f(ecit)","Nymphis et Silvano VANEC S voto libens fecit","votive inscription","votive inscription","relief","Dalmatia","Dalmatia","Citluk / Aequum","Aequum","Sinj",NA,"43.7423","16.6547"
"431",468373,"EDCS-30100421","HD061971",151,300,"Trivii[s] / sac(rum) / Titia Elp[is] / v(otum) l(ibens) p(osuit)","Triviis sacrum Titia Elpis votum libens posuit","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Citluk / Aequum","Aequum","Sinj","mulieres, tria nomina","43.7423","16.6547"
"432",468374,"EDCS-30100422","HD061970",1,150,"[Veneri?] / [Ge]netrici / [--]CL[---] / [---]M[---] / Cn(aei) f(ilius) [---] / [d]omo [---] / N in [---] / [-]quitat(---) [---] / [---]I ex [viso?] / [------?","Veneri Genetrici CL M Cnaei filius domo N in quitat I ex viso","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Citluk / Aequum","Aequum","Sinj","viri","43.7423","16.6547"
"433",468375,"EDCS-30100423","HD061967",151,300,"L(ucius) Eburnus(?) Tatianus / vot(um) sol(vit)","Lucius Eburnus Tatianus votum solvit","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Citluk / Aequum","Aequum","Sinj","tria nomina, viri","43.7423","16.6547"
"434",468376,"EDCS-30100424","HD061966",275,300,"Divo Aur/eliano / [---]R(?) / D[---]I(?)L(?) I II / [col(onia)?] Aeq(uensium) P[---](?) / [------?","Divo Aureliano R D IL I II colonia Aequensium P","honorific inscription","honorific inscription","NULL","Dalmatia","Dalmatia","Citluk / Aequum","Aequum","Hrvace","Augusti/Augustae, viri","43.7423","16.6547"
"435",468377,"EDCS-30100425","HD061962",121,121,"M(arco) Anni[o Vero II] / Cn(aeo) Arrio [Augure co(n)s(ulibus)] / Aelius Front[o ---] / C(h)arito Nassi[us ---] / Iettus StaC(?)[---] / L(ucio) Iulio Servi[ano?] / L(ucio) Solli[o ---] / [------","Marco Annio Vero II Cnaeo Arrio Augure consulibus Aelius Fronto Charito Nassius Iettus StaC Lucio Iulio Serviano Lucio Sollio","list","list","NULL","Dalmatia","Dalmatia","Citluk / Aequum","Aequum","Sinj","tria nomina, viri","43.7423","16.6547"
"436",468378,"EDCS-30100426","HD061961",1,150,"Burrius Betuloni / f(ilius) Trebocus miles / c(o)ho(rtis) Aquitanorum / annorum LV / stip(endiorum) XXIX / h(ic) s(itus) e(st) / heres posuit","Burrius Betuloni filius Trebocus miles cohortis Aquitanorum annorum LV stipendiorum XXIX hic situs est heres posuit","epitaph","epitaph","NULL","Dalmatia","Dalmatia","Citluk / Aequum","Aequum","Hrvace","milites, nomen singulare, viri","43.7423","16.6547"
"437",468379,"EDCS-30100427","HD061959",42,150,"M(arcus) Varenus / M(arci) f(ilius) Vol(tinia) Valens ve/ter(anus) leg(ionis) VII C(laudiae) p(iae) f(idelis) t(estamento) f(ieri) i(ussit) / arbitratu M(arci) Vare/ni Secundi liberti idem/que heredis","Marcus Varenus Marci filius Voltinia Valens veteranus legionis VII Claudiae piae fidelis testamento fieri iussit arbitratu Marci Vareni Secundi liberti idem que heredis","epitaph","epitaph","NULL","Dalmatia","Dalmatia","Citluk / Aequum","Aequum","Hrvace","liberti/libertae, milites, tria nomina, viri","43.7423","16.6547"
"438",468380,"EDCS-30100428","HD061958",1,300,"------] / LEG[---] / PAT[---]","LEG PAT","NULL",NA,"NULL","Dalmatia","Dalmatia","Citluk / Aequum","Aequum","Sinj","milites, viri","43.7423","16.6547"
"439",468381,"EDCS-30100429","HD061957",151,300,"------] / IIviro de[sig]/nato Calpu[r]/nia Crispina m[a]/rito pientissim[o]","II viro designato Calpurnia Crispina marito pientissimo","epitaph","epitaph","NULL","Dalmatia","Dalmatia","Citluk / Aequum","Aequum","Hrvace","mulieres, ordo decurionum, tria nomina, viri","43.7423","16.6547"
"440",468382,"EDCS-30100430","HD061956",151,300,"D(is) M(anibus) // Iulius / Valeria/nus ha/ruspex vi/(v)us sibi po/suit","Dis Manibus Iulius Valerianus haruspex vivus sibi posuit","epitaph","epitaph","NULL","Dalmatia","Dalmatia","Citluk / Aequum","Aequum","Sinj","sacerdotes pagani, tria nomina, viri","43.7423","16.6547"
"441",468383,"EDCS-30100431","HD061955",41,150,"M(arcus) Marcius / Anthus IIIIII[vir] / [ex] pecun(ia) h[onor(aria)] / [---] col(oniae)(?) [---] / [------","Marcus Marcius Anthus IIIIII vir ex pecunia honoraria coloniae","building/dedicatory inscription","building/dedicatory inscription","NULL","Dalmatia","Dalmatia","Citluk / Aequum","Aequum","Sinj","seviri Augustales, tria nomina, viri","43.7423","16.6547"
"442",468384,"EDCS-30100432","HD061953",1,150,"Munatia / [P]rimigenia / [n]omine Mu/natiae P(ubli) f(iliae) At/tianillae ob / honor(em) / P(ubli) Munati Rus/tici aug(uris)","Munatia Primigenia nomine Munatiae Publi filiae Attianillae ob honorem Publi Munati Rustici auguris","building/dedicatory inscription","building/dedicatory inscription","NULL","Dalmatia","Dalmatia","Citluk / Aequum","Aequum","Sinj","mulieres, sacerdotes pagani, tria nomina, viri","43.7423","16.6547"
"443",468385,"EDCS-30200122","HD061952",41,150,"[C(aius) Se]ccius Cn(aei) f(ilius) / Serg(ia) Marcellus / decur(io) IIvir iur(e) d(icundo) / C(aius) Seccius C(ai) fil(ius) Serg(ia) Ap[e]r / decur(io) IIvir iur(e) dic(undo) / ex pec(unia) hon(oraria) IIvir(atus) porticus et trichl[i]nam(!) ded/[erunt] l(ocus) d(atus) p(ublice) d(ecreto) d(ecurionum)","Caius Seccius Cnaei filius Sergia Marcellus decurio II vir iure dicundo Caius Seccius Cai filius Sergia Aper decurio II vir iure dicundo ex pecunia honoraria II viratus porticus et trichlinam dederunt locus datus publice decreto decurionum","building/dedicatory inscription","building/dedicatory inscription","NULL","Dalmatia","Dalmatia","Citluk / Aequum","Aequum","Sinj","ordo decurionum, tria nomina, viri","43.7423","16.6547"
"444",468386,"EDCS-30200123","HD061951",41,150,"[-? D?]idius E[---] In[---]/[-]ius ex pecunia honor[aria ---] / duoviratuus(!) amplius ex s[uo? --- car]/pusculis inauratis fastigi(i) a[---]/runt","Didius E In ius ex pecunia honoraria duoviratuus amplius ex suo carpusculis inauratis fastigii a runt","building/dedicatory inscription","building/dedicatory inscription","NULL","Dalmatia","Dalmatia","Citluk / Aequum","Aequum","Sinj","ordo decurionum, viri","43.7423","16.6547"
