MonumentID,Monument_Reference,MonumentType,Mention_Legio_VII,Inscription,Translation,Source_of_Translation,"Tončinić_2011_Style_Type",Lower_Field_Decoration,Portrait,Frieze,Creation_Date,DateNote,Current_Location,Roman_Province,Ancient_Site,Specific_Provenience,Modern_Find_Site,Modern_Provenience,General_Location_Note,Unique_Monument_Provenience_Note,LAT,LONG,Pleiades,Trismegistos,MonumentNote,DBInclusionReason,Media
33,"CIL 03, 14244/1","funerary inscription",yes,"T(itus) Curtiacus / T(iti) f(ilius) Lem(onia) Bon(onia) / vet(eranus) leg(ionis) VII C(laudiae) P(iae) F(idelis) / h(ic) s(itus) e(st) t(estamento) f(ieri) i(ussit)","Here lies Titus Curtiacus, son of Titus, of the Lemonia tribe, from the city of Bononia, a veteran of the 7th legion Claudia pia fidelis. Done in accordance with his will.",Coopey,,,,,"42 to 70",,"Basilica of Santa Maria, Porto, EDH and Trismegistos record that it is now held in this Basilica (in its art museum?), but was inscribed in Dalmatia (CIL). For the former reason, the EDCS seems to record (incorrectly) that it was found in Ravenna (where the Basilica is). Unsure of why or how it arrived in Ravenna after it was recorded in the CIL. Perhaps moved across for the re-opening of the Church in 1900, as part of its restoration in 1944, or its promotion to 'Basilica' in 1960. It has also has had an art Gallery since 1972. Wikipedia, 2019: https://en.wikipedia.org/wiki/Santa_Maria_in_Porto_Basilica. Accessed: 26/06/2020",Dalmatia,Salona,,Solin,,,,43.539561,16.483426,https://pleiades.stoa.org/places/197488,https://www.trismegistos.org/place/7043,,,
34,"CIL 03, 14931",stela,yes,"C(aius) Lartinius / C(ai) f(ilius) Pol(lia) domo / Foro Corneli / miles leg(ionis) VII / ann(orum) XXXIV / stip(endiorum) XVI h(ic) s(itus) e(st) / heredes posuer(unt)","Here lies Gaius Lartinius, son of Gaius, of the Pollia tribe, from the city of Forum Cornelii, a soldier of the 7th legion, who lived for 34 years and served for 16. His heirs erected this.",Coopey,Rc,,"no portrait",floral,"7 to 42",,"Arheološki muzej u Splitu/Archaeological Museum in Split, Inv. No. A 2368",Dalmatia,,,Dicmo,,,,43.635791,16.593133,,https://www.trismegistos.org/place/29340,,,http://lupa.at/21453/photos/1
35,"CIL 03, 01814","funerary inscription",yes,"P(ublius) Lastus A(uli) f(ilius) Scaeva / domo Florentia / eques vet(eranus) leg(ionis) VII C(laudiae) P(iae) F(idelis) / annor(um) LX stip(endiorum) XXX et Lastae / P(ubli) l(ibertae) Apiculae P(ublio) Lasto Felici / P(ublio) Lasto Diodoro lib(erto) t(estamento) f(ieri) i(ussit)","Publius Lastus Scaeva, son of Aulus, from the city of Florentia, a veteran cavalryman of the 7th legion, who lived for 60 years and served for 30, and Lasta Apicula, freedwoman of Publius, and Publius Lastus Felix and Publius Lastus Diodorus, freedmen. Done in accordance with his will.","Coopey, edit of Tončinić 2011",,,,,"42 to 70",,"Arheološki muzej u Splitu/Archaeological Museum in Split, Inv. No. A 2543",Dalmatia,Narona,,Vid,,"near Metković",,43.08130155,17.62464523,https://pleiades.stoa.org/places/197400,https://www.trismegistos.org/place/16527,,,http://lupa.at/21454
36,"CIL 17-4, 00363",milestone,no,"Imp(erator) T(itus) / Caesa[r Aug(usti) f(ilius)] / a Til[urio] / Sco[dram] / LX[VIII]","The Emperor Titus Vespasian Caesar, son of Augustus [-] from Tirluium [to?-] Scodra [-] 68? miles [-]",Coopey,,,,,"79 to 81","It is dated by the officials/emperors named",,Dalmatia,,,Prud,,,,43.0920794,17.5494842,,https://www.trismegistos.org/place/36202,,"evidence for road construction (a road to/from Tilurium)",
37,"CIL 17-4, 00342",milestone,no,"Impp(eratoribus) dd(ominis) nn(ostris) P(ublio) [Lic(inio)] / Valeriano et P(ublio) [Lic(inio)] / Gallieno Piis [Fe]/licibus Augg(ustis) [pp(ontificibus)] / mm(aximis) tri(bunicia) pot(estate) / a Tilur(io) m(ilia) p(assuum) / [------]",,,,,,,"253 to 259","It is dated by the officials/emperors named",,Dalmatia,,,Imotski,,,,43.447478,17.217691,,https://www.trismegistos.org/place/29382,,"evidence for road construction (a road to/from Tilurium)",
38,"CIL 03, 03202","construction dedication",no,"Imp(erator) Caes(ar) / M(arcus) Aurelius / [Commodus] / Antoninus / Aug(ustus) Pius Sarm(aticus) / Germ(anicus) maximus / Brittannicus / pont(ifex) max(imus) trib(unicia) / pot(estate) VIIII imp(erator) VI / co(n)s(ul) IIII p(ater) p(atriae) / pontem Hippi flumi/nis vetustate cor/ruptum restituit / sumptum et operas / subministrantibus / Novensibus Delmi/nensibus Riditis cu/rante et dedicante / L(ucio) Iunio Rufino Procu/liano leg(ato) pr(o) pr(aetore)",,,,,,,"184 to 184",,"Arheološki muzej u Splitu/Archaeological Museum in Split",Dalmatia,"Pons Tiluri",,Trilj,"Cetina River",,,43.61461719,16.728064,https://pleiades.stoa.org/places/197453,https://www.trismegistos.org/place/40852,,"evidence for bridge construction near Tilurium, some small finds related to a bridge were also found nearby, Sanader Tončinić 2013",http://lupa.at/24644/photos/1
39,"CIL 03, 14514",stela,yes,"L(ucius) Oppius T(iti) f(ilius) / Cla(udia) Secun/dus Varvar(ia) / p(rimus) p(ilus) leg(ionis) VII C(laudiae) / praef(ectus) k(astrorum) le[g(ionis)] / VII C(laudiae) p(iae) f(idelis)","Lucius Oppius Secundus, son of Titus, of the Claudia tribe, from the city of Varvaria, a first centurion of the 7th legion Claudia and camp prefect of the 7th legion Claudia pia fidelis.",Coopey,,,,,"59 to 130",,lost,"Moesia Superior",Viminacium,,Drmno,,,,44.73291,21.230575,https://pleiades.stoa.org/places/207549,https://www.trismegistos.org/place/29642,,"commemorates a Legio VII (CPF and Claudia) member from Bribir, Croatia. Dates to after the Legio's move to Vimanicium in 50s CE. Possibly the earliest monument attesting to the Legio's garrison there. MAMA 4",
40,"AE 2000, 1174",stela,yes,"C(aius) Licinius C(ai) f(ilius) / Fab(ia) dom(o) Sinope / vete(ranus) leg(ionis) VII an(norum) L / stip(endiorum) XXVII / h(ic) s(itus) e(st) / heredes posuer(unt)","Here lies Gaius Licinius, son of Gaius, of the Fabia tribe, from the city of Sinope, a veteran of the 7th legion, who lived for 50 years and served for 27. His heirs erected this monument.",Coopey,A3c,undecorated,bust,"no frieze","7 to 42",,"Muzej u Humcu (Franjevački samostan u Humcu)/Museum of Humac (Franciscan monastery of Humac",Dalmatia,"Pagus Scunasticus",,Smokovice-Hardomilje,"secondary use","right bank of Trebižat river","found near MonumentIDs 41, 72",43.159097,17.544753,,https://www.trismegistos.org/place/43363,,,http://lupa.at/21455/photos/1
41,"ILJug 3, 1920",stela,yes,"M(arcus) Livius M(arci) / f(ilius) Pal(atina) dom(o) / Aloro ve/teranus / leg(ionis) VII an(norum) / L stip(endiorum) XXVI / h(ic) s(itus) e(st) t(estamento) f(ieri) i(ussit)","Here lies Marcus Livius, son of Marcus, of the Palatinia tribe, from the city of Alorus, a veteran of the 7th legion , who lived for 50 years and served for 26. Done in accordance with his will.",Coopey,A1a,"quad-panelled door, lions and handles","no portrait",military,"7 to 42",,"Zemaljski muzej Bosne i Hercegovine/The National Museum of Bosnia and Herzegovina, Inv. No. 92",Dalmatia,"Pagus Scunasticus",,Smokovice-Hardomilje,"secondary use","right bank of Trebižat river","115m from where other monuments were found, including MonumentIDs 40, 72",43.159097,17.544753,,https://www.trismegistos.org/place/43363,,,http://lupa.at/21456/photos/1
42,"AE 1996, 1215",titulus,yes,"C(aius) Lollius C(ai) f(ilius) Pap(iria) Valens / veter(anus) leg(ionis) VII C(laudiae) P(iae) F(idelis) v(ivus) f(ecit) / sibi et Hostiliae P(ubli) f(iliae) Secu[ndae] / coniugi sanctissi[mae]","Gaius Lollius Valens, son of Gaius, of the Papiria tribe, a veteran of the 7th legion Claudia pia fidelis, erected this while alive for himself and Hostilia Secunda, daughter of Publius, his most innocent wife.",Coopey,tituli,,,,"42 to 59",,"Arheološka zbirka Marka Matijevića u Solinu/The Archaeological collection of Marko Matijević in Solin",Dalmatia,Salona,,Solin,"ul. Marka Marulića",,"found in-situ during construction work",43.535713,16.493097,https://pleiades.stoa.org/places/197488,https://www.trismegistos.org/place/7043,,,http://lupa.at/21457/photos/1
43,"CIL 03, 09737",stela,yes,"C(aius) Longinus C(ai) f(ilius) / Cor(nelia) Amblada / mil(es) leg(ionis) VII an(norum) XL / stip(endiorum) XXI h(ic) s(itus) e(st) / frater fratri","Here lies Gaius Longinus, son of Gaius, of the Cornelia tribe, from the city of Amblada, a soldier of the 7th legion, who lived for 40 years and served for 21. A brother erected this for his brother.",Coopey,A2,"quad-panelled door, lions and 'Attis'",bust,,"7 to 70",,"Arheološki muzej u Splitu/Archaeological Museum in Split, Inv. No. A 178",Dalmatia,Tilurium,,Gardun,,,,43.612006,16.714766,https://pleiades.stoa.org/places/197552,https://www.trismegistos.org/place/29459,"bust is fragentary",,http://lupa.at/21458/photos/1
44,"CIL 03, 02040",stela,yes,"C(aius) Lucretius / signif(er) leg(ionis) VII / C(laudiae) P(iae) F(idelis) dom(o) Verona / an(norum) XLV stip(endiorum) XXVI / de suo peculio f(aciendum) i(ussit) sibi / et Primo suo curam / egerunt frater et / Chrestus lib(ertus) / in fr(onte) p(edes) X in agr(o) p(edes) XX","Gaius Lucretius, standard bearer of 7th legion Claudia pia fidelis, from the city of Verona, who lived 45 years and served 26, by means of his own funds, ordered this monument to be made to himself and his Primus. His brother and the freedman Chrestus saw to this. In a length of 10 feet and width of 20 feet.","Coopey, edit of Tončinić 2011",A3c,undecorated,"family bust",,"42 to 59",,"Arheološki muzej u Splitu/Archaeological Museum in Split, Inv. No. AMS-39605. ",Dalmatia,Salona,,Solin,,,"Tončinić 2011 records Betz claim that this monument was from the same findspot(grave) as MonumentID45 (CIL 3, 2041)",43.539561,16.483426,https://pleiades.stoa.org/places/197488,https://www.trismegistos.org/place/7043,"bust is split, with only the right-most piece surviving. CPF is reconstructed off of the drawings in the CIL and Maršić which seem to indicate that the whole inscriptions was once visible. However,  the portrait is missing from the head of the child and up, therefore no obervation can be made about the existence of a frieze",,http://lupa.at/21459/photos/1
45,"CIL 03, 02041","funerary inscription",yes,"C(aius) Lucretius / vet(eranus) leg(ionis) VII C(laudiae) P(iae) F(idelis) / domo Verona v(ivus) f(ecit) / sibi et Provinciali f(ilio) et / Firmillae et Tyche lib(ertabus) / suisque omnibus / in fr(onte) p(edes) X in agr(o) p(edes) XX","Gaius Lucretius, a veteran of the 7th legion Claudia pia fidelis, from the city of Verona, erected this while alive to himself and his son Provincialus and his freedwomen Primilla and Tycha, and all of his kin, in a length of 10 feet and a width of 20 feet.","Coopey, edit of Tončinić 2011",,,bust,,"42 to 70",,lost,Dalmatia,Salona,,Solin,,,"Tončinić 2011 records Betz claim that this monument was from the same findspot(grave) as MonumentID44 (CIL 3, 2040)",43.539561,16.483426,https://pleiades.stoa.org/places/197488,https://www.trismegistos.org/place/7043,,,http://lupa.at/21514/photos/1
46,"CIL 03, 09939",stela,yes,"Q(uintus) Magius / C(ai) f(ilius) Publ(ilia) dom(o) / Verona vetera(nus) / leg(ionis) VII annoru(m) / L stipend(iorum) XXV / t(estamento) f(ieri) i(ussit) h(ic) [s(itus)] e(st)","Here lies Quintus Magius, son of Gaius, of the Publilia tribe, from the city of Verona, a veteran of the 7th legion, who lived 50 years and served 25. Done in accordance with his will.",Coopey,Rc,,"no portrait","no frieze","7 to 42",,"Arheološki muzej u Zadru/Archaeological Museum in Zadar, Inv. No. A 7396",Dalmatia,Asseria,,"Podgrađe",,,,44.01096805,15.6663802,https://pleiades.stoa.org/places/197145,https://www.trismegistos.org/place/28793,"lost below its epitaph",,http://lupa.at/21460/photos/1
47,"AE 1904, 0172",stela,yes,"C(aius) Manticus / C(ai) f(ilius) Scap(tia) mil(es) / leg(ionis) VII C(laudiae) P(iae) F(idelis) / stip(endiorum) XXIIII / C(aius) Avinnius / [Post]umius / [---]s / [","Gaius Manticus, son of Gaius, of the Scaptia tribe, a soldier of the 7th legion Claudia pia fidelis, who served for 24 years, Gaius Avinnius [Post]umius {",Coopey,Rc,,"no portrait","no frieze","42 to 59",,"Arheološki muzej u Splitu/Archaeological Museum in Split, Inv. No. A 3150",Dalmatia,Salona,"North Necropolis",Solin,"surrounds of the amphitheatre",,"may originate from the same plot as MonumentID 8, 24, 62, 95 (FindspotID 8) for it was found on the land of the Parać family near the Amphitheatre, and the Parać family owned the land where these other three stelae were found, Tončinić 2011, 66-67",43.538629,16.475334,https://pleiades.stoa.org/places/197488,https://www.trismegistos.org/place/7043,"lost below epitaph",,http://lupa.at/21461/photos/1
48,"CIL 03, 14932",stela,yes,"Q(uintus) Marcius / Q(uinti) f(ilius) Cor(nelia) Bassus / dom(o) Benevento / [m]il(es) leg(ionis) VII an(norum) / [---] stip(endiorum) XVII / [h(ic) s(itus)] e(st) t(estamento) f(ieri) i(ussit) / [ex arb]itratu / [M]aximi","Here lies Quintus Marcius Bassus, son of Quintus, of the Cornelia tribe, from the city of Beneventum, a soldier of the 7th legion, who lived for [-] years and served for 17. Done in accordance with his will, testified by Maximus.",Coopey,Rb,dolabra,"no portrait",floral,"7 to 42",,"Arheološki muzej u Splitu/Archaeological Museum in Split, Inv. No. A 2459",Dalmatia,Tilurium,,Gardun,"built into modern structure",,"built into house of Šimun Žuljević until 1898",43.612652,16.714676,https://pleiades.stoa.org/places/197552,https://www.trismegistos.org/place/29459,"bottom left corner of epitaph is fragmentary but can be reconstructed",,http://lupa.at/21462/photos/1
49,"Tončinić 040",stela,yes,"L(ucius) Marcilius / C(ai) [f(ilius) do]mo Pe/[ssin(unte?) --- leg(ionis) V]II / C[l(audiae) P(iae) F(idelis) ---] / [--- ---] / C(aius) M[arcilius?][","Lucius Marcilius, son of Gaius, from the city of Pe[ssinus - a ?] of the 7th legion Claudia [pia fidelis], Gaius M[arcilius?","Coopey, edit of Tončinić 2011",A1a,"quad-panelled door, lions and floral","no portrait",military,"7 to 59",,"Secondary use- cemetery at Chapel of st. Elias, Veljaci",Dalmatia,"Pagus Scunasticus",,Veljaci,,,,43.237222,17.445,,https://www.trismegistos.org/place/43363,"Dodig 2003 thinks it should be atribtued to VII CPF, but no other stelae from the region is (definitely) CPF, Tončinić 2011, 69",,http://db.edcs.eu/epigr/bilder.php?s_language=en&bild=$Legio-VII_00040.jpg;$Dodig-01_00004_1.jpg;$Dodig-01_00004_2.jpg
50,"AE 1991, 1291",stela,yes,"Q(uintus) Mettius Q(uinti) f(ilius) / Volt(inia) Valens / mil(es) leg(ionis) VII C(laudiae) P(iae) F(idelis) / an(norum) XXXVIII stip(endiorum) XIIX / t(estamento) f(ieri) i(ussit)","Quintus Mettius Valens, son of Quintus, of the Voltinia tribe, a soldier of the 7th legion Claudia pia fidelis, who lived for 37 years and served for 18. Done in accordance with his will.",Coopey,A3a,"quad-panelled door, handles and knockers",bust,military,"42 to 59",,"Arheološki muzej u Splitu/Archaeological Museum in Split, Inv. No. AMS-38403",Dalmatia,Salona,"East Necropolis",Solin,,"near Porta Andetria",,43.541733,16.491405,https://pleiades.stoa.org/places/197488,https://www.trismegistos.org/place/7043,,,http://lupa.at/21464/photos/1
51,"AE 1995, 1232",stela,yes,"L(ucius) Mummius L(uci) / f(ilius) Fab(ia) Ancyra / miles leg(ionis) VII / ann(orum) XXXVI / stipend(iorum) XVI / h(ic) s(itus) e(st) // Arma bis octonis felicia qui tulit annis / hic situs est fato Mummius ipse suo / si sapiunt obiti data munera percipis am(pla) / et recipis nostrae pignus amicitiae / hoc tibi cum titulo posuit / Cornelius Chrestus / et dixit lachrymans sit tibi ter(r)a levis // M(arcus) Cornelius M(arci) l(ibertus) / Chrestus posuit","Here lies Lucius Mummius, son of Lucius, of the Fabia tribe, from the city of Ancyra, a soldier of the 7th legion, who lived for 36 years and served for 16. Here rests by his own fate Mummius who bore fortunate weapons for two sets of eight years. If the deceased are aware of the gifts given to them, then you see them wealthy (resplendent) and receive the vow (evidence) of our friendship. This inscription has been left to by Cornelius Chrestus, and weeping he said: 'May you rest in peace.' Erected by Marcus Cornelius Chrestus, freedman of Marcus.","Coopey, edit of Tončinić 2011 (made with help of Milićević-Bradač)",A1b,"dona militaria","no portrait","no frieze","7 to 42",,"Muzej Cetinske krajina/Museum of Cetina region, Inv. No. MCK-B-1373",Dalmatia,Tilurium,,"Vojnić",,"found between Vojnić and Gardun",,43.615035,16.700356,https://pleiades.stoa.org/places/197552,https://www.trismegistos.org/place/29459,"has a second epitaph in the middle with a poem. Sanader, Demicheli, Bradač 2013 discuss this stelae when arguing a poet lived at the military camp of Tilurium. The first two lines are elegiac couplet, then there is a third hexameter with an extra line",,http://lupa.at/21465/photos/1
52,"CIL 03, 09738",stela,maybe,"Q(uintus) Murrius / Q(uinti) f(ilius) Ser(gia) Augusta / mil(es) leg(ionis) [--- an]n(orum) XXXV / stip(endiorum) VI[--- h(ic) s(itus)] e(st)","Here lies Quintus Murrius, son of Quintus, of the Sergia tribe, from the city of Augusta, a soldier of the [?] legion, who lived for 35 years and served for 6(?).",Coopey,,,"no portrait","no frieze","7 to 59",,"Arheološki muzej u Splitu/Archaeological Museum in Split, Inv. Nos. A 411, 694 and 3244",Dalmatia,Tilurium,,"Vojnić",,,,43.615035,16.700356,https://pleiades.stoa.org/places/197552,https://www.trismegistos.org/place/29459,"comprises of three frgaments first put together by Bulić in 1903. Missing bottom portion of stelae above the base","no mention of VII, but assigned on acount of find-site and the military nature of the inscription",http://lupa.at/21466/photos/1
53,"CIL 03, 14946",stela,yes,"C(aius) Octavius / C(ai) f(ilius) Fabia Vital[i]s / domo Brixiae / vet(eranus) leg(ionis) VII C(laudiae) P(iae) F(idelis) / h(ic) s(itus) e(st) / testamento f(ieri) i(ussit) / arbitratu Octavi/ae Secundaes lib(ertae) / suae","Here lies Gaius Octavius Vitalis, son of Gaius, of the Fabia tribe, from the city of Brixia, a veteran of the 7th legion Claudia pia fidelis. Done in accordance with his will by the judgement of his freedwoman Octavia Secundus.","Coopey, edit of Tončinić 2011",Rc,undecorated,,,"42 to 70",,"Arheološka zbirka Franjevačkog samostana u Sinju/Archaeological collection of the Franciscan Monastery in Sinj, Inv. No. RN 45",Dalmatia,Aequum,,Glavice,,"5km from Čitluk",,43.711624,16.661095,https://pleiades.stoa.org/places/197095,https://www.trismegistos.org/place/19893,"now fragmentary but Bulić claims to have seen full inscription. BD-VAHD (23) 1900, 118 has Bulić's drawing",,http://lupa.at/21467/photos/1
54,"ILJug 3, 1916",titulus,yes,"[L(ucius)] Oppius L(uci) [f(ilius)] / Ser(gia) Signinus do/mo Conana vet(eranus) / leg(ionis) VII annor(um) L st(ipendiorum) XXVII / h(ic) s(itus) e(st)","Here lies Lucius Oppius Segninus, son of Lucius, of the Sergia tribe, from the city of Conana, veteran on the 7th legion, who lived for 70 years.",Coopey,tituli,,,,"7 to 42",,"Muzej u Humcu (Franjevački samostan u Humcu)/Museum of Humac (Franciscan monastery of Humac",Dalmatia,"Pagus Scunasticus",,Vuna-Hardomilje,,,,43.159097,17.544753,,https://www.trismegistos.org/place/43363,"EDCS inscription is based off of Betz 1938, this inscription in this DB is based off of a new paper published (Glavičić, Pandža). The monument has two HD numbers as it has been transliterated twice and has been understood as two different stelae. The translations differ probably on account of the damaged condition of the inscription, as observed by Tončinić 2011, 77 (who provides another reading of the inscription based off Betz 1938)",,http://lupa.at/21468/photos/1
55,"CIL 03, 02716",stela,yes,"Q(uintus) Oppius Q(uinti) f(ilius) / Pol(lia) Foro Corne(lii) / signifer leg(ionis) VII / ann(orum) XXX stip(endiorum) VIII / h(ic) s(itus) e(st) heres pos(ui)t","Here lies Quintus Oppius, son of Quintus, of the Pollia tribe, from the city of Forum Cornelii, standard bearer of the 7th legion, who lived for 30 years and served for 8. Erected by his heir.",Coopey,Rc,,"no portrait",military,"7 to 42",,"Arheološki muzej u Splitu/Archaeological Museum in Split, Inv. No. A 1999",Dalmatia,Tilurium,,Gardun,,,,43.612006,16.714766,https://pleiades.stoa.org/places/197552,https://www.trismegistos.org/place/29459,"bottom of stela is broken off",,http://lupa.at/21469/photos/1
56,"CIL 03, 13978",stela,maybe,"C(aius) Parp[irius] Fab(ia) / [-]ARE[--]C[-]X / annorum XLV / stipendior(um) XVI / N[---","Gaius Parpirius, of the Fabia tribe [-] who lived for 45 years and served for 16 {","Coopey, edit of Tončinić 2011",Rc,,"no portrait",floral,"7 to 59",,"Arheološki muzej u Splitu/Archaeological Museum in Split, Inv. No. A 1984",Dalmatia,Tilurium,,Gardun,,,,43.612006,16.714766,https://pleiades.stoa.org/places/197552,https://www.trismegistos.org/place/29459,,"no explicit mention of Legio VII, but it was found at Tilurium and the individual is possibly from the same (Eastern) tribe that mentioned in as MonumentID 31 (CIL, 3, 9734), and it is military in nature (namely the rider portrait). Tončinić 2011, 79",http://lupa.at/21470/photos/1
57,"CIL 03, 14933",stela,maybe,"M(arcus) Percenni[us---] / Voltinia Ph[ilippis] / [--- l]eg(ionis) [","Marcus Percennius, of the Voltinia tribe, from the city of Phillipi(?), [a cavalryman] of [?] legion {","Coopey, edit of Tončinić 2011",,,rider,,"7 to 100",,"Arheološki muzej u Splitu/Archaeological Museum in Split, Inv. No. A 2458",Dalmatia,Tilurium,,Trilj,"built into modern structure",,"found in wall of house of Šimun Latinac",43.618756,16.723601,https://pleiades.stoa.org/places/197552,https://www.trismegistos.org/place/29459,,"not explicitly Legio VII, but ascribed to it by Hofmann, Betz, Wilkes and Fadić on account of find-site and the reconstructed voting tribe and location at Phillipi (where other legio VII people are attested to be from). Could be an eques from Legio VII or any other legio/cohors/ala attested to at the site",http://lupa.at/21471/photos/1
58,"CIL 03, 02772",stela,yes,"Q(uinto) Petro/nio Vale/nti militiav(it) / leg(ione) VII G[=C](laudia) P(ia) F(ideli) / h(ic) s(itus) e(st)","Here lies Quintus Petronius Valentus, a soldier of the 7th legion Claudia pia fidelis.",Coopey,,,,,"42 to 59",,lost,Dalmatia,"Municipium Riditarum/Rider",,Danilo,,"near Šibenik",,43.700462,16.055704,https://pleiades.stoa.org/places/197473,https://www.trismegistos.org/place/29458,"Tončinić 2011: he 'G' has been interpreted by Betz as a 'C' (typological error). Unit used to be attributed to Legio VII Gemina, which was once located in Pannonia. Legio VII CPF more likely however on account of province and locations",,
59,"ILJug 3, 2280",stela,yes,"Pinaria C(ai) lib(erta) / [--- ---] / patrono suo / C(aio) Pinario Scarpo / [ve]t(erano) leg(ionis) VII et filio / [","Pinaria, freedwoman of Gaius [-], to her patron Gaius Pinarius Scarpus, a veteran of the 7th legion, and his son {","Coopey, edit of Tončinić 2011",,,,,"7 to 42",,"Arheološki muzej u Splitu/Archaeological Museum in Split, Inv. No. A 3164",Dalmatia,Salona,"North Necropolis",Solin,,"Matinčevo-Porta Suburbia I","found in Ćabo, Salona, probably in-situ in the North Necropolis near the Manstirine",43.53869,16.476543,https://pleiades.stoa.org/places/197488,https://www.trismegistos.org/place/7043,"only the epitaph has survived",,http://lupa.at/21472/photos/1
60,"ILJug 3, 2601",stela,yes,"Primigeniu[s] / P(ubli) Ploti ∙>∙(centurionis) leg(ionis) / VII C(laudiae) P(iae) F(idelis) lib(ertus) an[n(orum)] / XX[---] h(ic) s(itus) e(st) / pat[ronus","Here lies Primigenius, a freedman of Publius Plotius, a centurion of the 7th legion Claudia pia fidelis, who lived for 20(?) years. Placed by the patron {","Coopey, edit of Tončinić 2011",,,,,"42 to 59",,"Arheološki muzej u Splitu/Archaeological Museum in Split, Inv. No. A 5054",Dalmatia,Salona,"North Necropolis","Kapljuč","secondary use",,,43.53937,16.47679,https://pleiades.stoa.org/places/197488,https://www.trismegistos.org/place/7043,,,http://lupa.at/21473/photos/1
61,"CIL 03, 01818","funerary inscription",yes,"L(ucius) Riccius L(uci) f(ilius) Vel(ina) / Pessinunte ann(orum) LX vet(eranus) / Marcia Maxima uxor / L(ucius) Riccius L(uci) f(ilius) Valens / L(ucius) Riccius L(uci) f(ilius) Gallus / Riccia L(uci) [f(ilia)] Bulla / h(ic) s(iti) s(unt) / L(ucius) Atilius L(uci) f(ilius) Vel(ina) veter(anus) leg(ionis) VII / avunculo suo posuit et sibi","Here lies Lucius Riccius, son of Lucius, of the Velina tribe, from the city of Pessinus, who lived for 60 years, a veteran, his wife Marcia Maxima, Lucius Riccius Valens, son of Lucius, Lucius Riccius Gallus, son of Lucius, and Riccia Bulla, daughter of Lucius. Lucius Atilius, son of Lucius, of the Velina tribe, veteran of the 7th legion, placed for his fraternal uncle and himself.","Coopey, edit of Tončinić 2011",,,,,"7 to 42",,lost,Dalmatia,Narona,,"Čitluk",,,,43.228021,17.698194,https://pleiades.stoa.org/places/197400,https://www.trismegistos.org/place/16527,"very likely that this stelae includes reference to two soldiers of Legio VII (Lucius Atilius [definitely] and Lucius Riccius [likely]) for they are of the same family, tribe and likley of the same origin. Tončinić 2011, 82. EDCS also says Vid-Narona as location (likley based of BH Čitluk) with Tončinić 2011 claiming it is Čitluk Sinj (Aequum)",,
62,"CIL 03, 02048",stela,yes,"T(itus) Sabinius T(iti) f(ilius) / Fab(ia) domo / Sebaste vete(ranus) / leg(ionis) VII ann(orum) LVI / sti(pendiorum) XXXII / h(ic) s(itus) e(st)","Here lies Titus Sabinius, son of Titus, of the Fabia tribe, from the city of Sebaste, a veteran of the 7th legion, who lived for 56 years and served for 32.",Coopey,,,,,"7 to 42",,"Arheološki muzej u Splitu/Archaeological Museum in Split, Inv. No. A 32",Dalmatia,Salona,"North Necropolis",Solin,,"Matinčevo-Porta Suburbia I",,43.53869,16.476543,https://pleiades.stoa.org/places/197488,https://www.trismegistos.org/place/7043,"Tončinić 2011: MonumentID 8, 24, 95 were found nearby",,
63,"AE 1940, 0177",altar,yes,"D(is) M(anibus) / L(ucio) Septimio / Gratiano / mil(iti) leg(ionis) / VII Cl(audiae) exac/to co(n)s(ularis) v[i]/xit ann(os) XXII[II] / d(ies) XI Genia/lis Aug(usti) n(ostri) lib(ertus) / et Apuleia / Salvia filio / karissimo / pos(uerunt)","To the Manes, Lucius Septimius Gratianus, soldier of the 7th legion Claudia, notary of the Consul, who lived for 24 years and 11 days. Genialis, a freedman of our Augustus, and Apuleia Salvia, for their dearest son, set this up.","Coopey, edit of Tončinić 2011",altar,,"no portrait",,"171 to 230",,"Arheološki muzej u Splitu/Archaeological Museum in Split, INV. No. AMS-39549",Dalmatia,Andetrium,,"Gornji Muć","built into modern structure",,"built into house of Ante Jeličić",43.690597,16.484007,https://pleiades.stoa.org/places/197115,https://www.trismegistos.org/place/29420,,"the soldier mentioned was working under a legate in Dalmatia long after Legio VII had moved to Viminacium. The dating is based on the name of his father (which dates to the Septimi) and the use of the reduced 'cpf' title - 'c(laudia)'",http://lupa.at/21475/photos/1
64,"CIL 03, 08493",stela,maybe,"M(arcus) Sosius M(arci) f(ilius) / Fab(ia) Sebasto/[poli --- leg(ionis)] VII / [","Marcus Sosius, son of Marcus, of the Fabia tribe, from the city of Sebastopolis [- legion?] 7th {",Coopey,Rc,,"no portrait","no frieze","7 to 59",,"Zemaljski muzej Bosne i Hercegovine/The National Museum of Bosnia and Herzegovina, Inv. No. 97 ",Dalmatia,"Pagus Scunasticus",,"Gračine-Humac",,,,43.182217,17.528855,,https://www.trismegistos.org/place/43363,"Legio VII was possibly included on the original record of the inscription (1880) in the form of 'VII' but the relevant line has since been lost. The Eastern origin of Marcus supports the argument for Legio VII however, as does the location of Humac where other Legio VII monuments have been found nearby. Monument is lost below second line of epitaph",,http://lupa.at/21476/photos/1
