Column1,X,LIST.ID,EDCS.ID,EDH.ID,not_before,not_after,changed?,source,note,delete?,transcription,clean_text_interpretive_word,type_of_inscription_clean,type_of_inscription_auto,type_of_monument_clean,changed_type?,source,note,province,province_label_clean,place,findspot_ancient_clean,findspot_modern_clean,status_notation,Latitude,Longitude,count
112,1118,469076,EDCS-30100677,HD034235,31,70,,,,,------] / tur(ma) Ne[potis?] / ann(orum) XLV [---] / t(estamento) [f(ieri) i(ussit)] / Neriu[s ------,turma Nepotis annorum XLV testamento fieri iussit Nerius,epitaph,epitaph,tabula,,,,Dalmatia,Dalmatia,Humac / Bigeste,Bigeste,Ljubuški,"milites, nomen singulare, viri",43.1818,17.5271,1
229,2697,470700,EDCS-28300146,HD061639,31,70,,,,,[-] Appinius / Pol(lia) Faven/[ti]a Quadr/atus |(centurio) vete/ranorum / leg(ionis) IIII Mac(edonicae) / an(n)o(s) na(tus) XL / bis huc pietas / ossa bene / qui&lt;es&gt;cant,Appinius Pollia Faventia Quadratus centurio veteranorum legionis IIII Macedonicae annos natus XL bis huc pietas ossa bene qui lt es gt cant,epitaph,epitaph,cliff,,,,Dalmatia,Dalmatia,Skradin / Scardona,NULL,"Skradin - Kistanje, zwischen","milites, tria nomina, viri",43.8227,15.9208,1
406,5215,473462,EDCS-10101055,HD033465,31,70,,,,,C(aius) Manticus / C(ai) f(ilius) Scap(tia) mil(es) / leg(ionis) VII C(laudiae) p(iae) f(idelis) / stip(endiorum) XXIIII / C(aius) Avinnius / [Post]umius(?) / [---]s / [------,Caius Manticus Cai filius Scaptia miles legionis VII Claudiae piae fidelis stipendiorum XXIIII Caius Avinnius Postumius s,epitaph,epitaph,stele,,,,Dalmatia,Dalmatia,Solin / Salona,Salonae,Solin,"milites, praenomen et nomen, tria nomina, viri",43.5384,16.4743,1
433,5566,473898,EDCS-03000748,HD039979,31,70,,,,,C(aius) Lollius C(ai) f(ilius) Pap(iria) Valens / veter(anus) leg(ionis) VII C(laudiae) p(iae) f(idelis) v(ivus) f(ecit) / sibi et Hostiliae P(ubli) f(iliae) Secu[ndae] / coniugi sanctissi[mae],Caius Lollius Cai filius Papiria Valens veteranus legionis VII Claudiae piae fidelis vivus fecit sibi et Hostiliae Publi filiae Secundae coniugi sanctissimae,epitaph,epitaph,tabula,,,,Dalmatia,Dalmatia,Solin / Salona,Salonae,Solin,"milites, mulieres, tria nomina, viri",43.5384,16.4743,1
451,6168,474615,EDCS-30200377,HD034287,31,70,,,,,Q(uintus) Murrius / Q(uinti) f(ilius) Ser(gia) Augusta / mil(es) le[g(ionis) VII an]n(orum) XXXV / stip(endiorum) VI[--- h(ic) s(itus)] e(st),Quintus Murrius Quinti filius Sergia Augusta miles legionis VII annorum XXXV stipendiorum VI hic situs est,epitaph,epitaph,stele,,,,Dalmatia,Dalmatia,Tomislavgrad / Duvno / Zupanjac / Delminium,Tilurium,Trilj,"milites, praenomen et nomen, viri",43.6139,16.689,1
457,6226,474673,EDCS-10100894,HD034296,31,70,,,,,------]SC Pala/[tina? mil(es)? leg(ionis)] VII / [------,SC Palatina miles legionis VII,epitaph,epitaph,NULL,,,,Dalmatia,Dalmatia,Trilj / Tilurium,Tilurium,Trilj,"milites, viri",43.6139,16.689,1
471,6390,474842,EDCS-26600672,HD050194,31,70,,,,,Ti(berio) Claud[io --- ima]/ginif(ero) vet(erano) [---] / stip(endiorum) XLIX an[nor(um) ---] / Ti(berius) Claudius [--- sibi posteris]/q(ue) eius quod is t[est(amento) des(ignavit)],Tiberio Claudio imaginifero veterano stipendiorum XLIX annorum Tiberius Claudius sibi posteris que eius quod is testamento designavit,epitaph,epitaph,NULL,,,,Dalmatia,Dalmatia,Vid / Narona,Narona,Metković,"milites, viri",43.0801,17.625,1
506,7057,108714,EDCS-82800027,NA,31,70,,,,,NA,Marcus Valerius Marci filius Tromentina Macer veteranus cohortis X I urbanae testamento fieri iussit heres faciendum curavit,NA,epitaph,NA,,,,Dalmatia,NA,Solin / Salona,NA,NA,"milites, tria nomina, viri",43.5441591,16.4919213,1
116,1158,469121,EDCS-41300186,HD039870,42,70,,,,,L(ucius) Tertius L(uci)(?) f(ilius) / [Te]rtianus / H[era]cl[ea] ann(orum) [---] / HIR ACLRA mil(es) / leg(ionis) XI [C(laudiae) p(iae)] f(idelis) / ann(orum) XL stip(endiorum) XVII / L(ucius) Pomp(onius?) Pol[lio? ---?],Lucius Tertius Luci filius Tertianus Heraclea annorum HIR ACLRA miles legionis XI Claudiae piae fidelis annorum XL stipendiorum XVII Lucius Pomponius Pollio,epitaph,epitaph,stele,,,,Dalmatia,Dalmatia,Ivosevci / Burnum,Burnum,Kistanje,"milites, tria nomina, viri",44.0317,15.9936,1
118,1160,469123,EDCS-41300188,HD039872,42,70,,,,,[------] / [--- l]eg(ionis) XI [C(laudiae)? p(iae)? f(idelis)?] / [|(centuria)?] Aemi(li) V[ictoris?] / ann(orum) XI[---] / [s]ti[p(endiorum) ---] / [------?],legionis XI Claudiae piae fidelis centuria Aemili Victoris annorum XI stipendiorum,epitaph,epitaph,stele,,,,Dalmatia,Dalmatia,Ivosevci / Burnum,Burnum,Kistanje,"milites, tria nomina, viri",44.0317,15.9936,1
119,1161,469124,EDCS-41300189,HD039873,42,70,,,,,[------?] / [---?]ALR[---?] / [---?] leg(ionis) X[I? C(laudiae)? p(iae)? f(idelis)?] / [ann(orum) ---] / stip(endiorum) X[---] / [---] M(arcus) Pon[ponius! ---],ALR legionis XI Claudiae piae fidelis annorum stipendiorum X Marcus Ponponius,epitaph,epitaph,stele,,,,Dalmatia,Dalmatia,Ivosevci / Burnum,Burnum,Kistanje,"milites, viri",44.0317,15.9936,1
407,5216,473463,EDCS-10101056,HD034436,42,70,,,,,------] / signifer / leg(ionis) VII C(laudiae) p(iae) f(idelis) / C(aius) Clodius Felix / lib(ertus) / IIIIIIvir Aug(ustalis),signifer legionis VII Claudiae piae fidelis Caius Clodius Felix libertus IIIIII vir Augustalis,epitaph,epitaph,base,,,,Dalmatia,Dalmatia,Solin / Salona,Salonae,Solin,"liberti/libertae, milites, seviri Augustales, tria nomina, viri",43.5384,16.4743,1
52,801,468753,EDCS-28300038,HD054440,60,70,,,,,Melvadius Macri f(ilius) / eq(ues) alae Claudiae novae / dom(o) Cugernus ann(orum) XXX stipen(diorum) XII / t(estamento) f(ieri) i(ussit) / Ti(berius) Claudius Aurelius / her(es) pos(uit),Melvadius Macri filius eques alae Claudiae novae domo Cugernus annorum XXX stipendiorum XII testamento fieri iussit Tiberius Claudius Aurelius heres posuit,epitaph,epitaph,stele,,,,Dalmatia,Dalmatia,Gardun / Tilurium,Tilurium,Trilj,"milites, tria nomina, viri",43.6139,16.689,1
101,1098,469056,EDCS-10100873,HD034246,1,71,,,,,------]sca[---] / miles c[oh(ortis) I] / Bracarau[gustano]/rum an(norum) X[---] / h(ic) s(itus) e(st) / Cambi[---] / h(eres) p(osuit),sca miles cohortis I Bracaraugustanorum annorum X hic situs est Cambi heres posuit,epitaph,epitaph,NULL,,,,Dalmatia,Dalmatia,Hardomilje / Bigeste,Bigeste,Ljubuški,"milites, viri",43.1818,17.5271,1
147,1230,469194,EDCS-10000853,HD034390,1,71,,,,,Buccus Staumi / f(ilius) Fab(ia) domo / Brixia miles / coh(ortis) Monta/norum ann(orum) / XXVI stip(endiorum) IIII / h(ic) s(itus) e(st) / t(estamento) f(ieri) i(ussit),Buccus Staumi filius Fabia domo Brixia miles cohortis Montanorum annorum XXVI stipendiorum IIII hic situs est testamento fieri iussit,epitaph,epitaph,stele,,,,Dalmatia,Dalmatia,Ivosevci / Burnum,Burnum,Kistanje,"milites, nomen singulare, viri",44.0317,15.9936,1
30,436,468378,EDCS-30100426,HD061961,6,74,"yes, both",Cesarik (33),,,Burrius Betuloni / f(ilius) Trebocus miles / c(o)ho(rtis) Aquitanorum / annorum LV / stip(endiorum) XXIX / h(ic) s(itus) e(st) / heres posuit,Burrius Betuloni filius Trebocus miles cohortis Aquitanorum annorum LV stipendiorum XXIX hic situs est heres posuit,epitaph,epitaph,NULL,,,,Dalmatia,Dalmatia,Citluk / Aequum,Aequum,Hrvace,"milites, nomen singulare, viri",43.7423,16.6547,1
280,2971,470984,EDCS-27601627,HD063271,6,74,"yes, both",Cesarik (32),,,Tarcho / Tarbun/nis f(ilio) mil(iti) / coh(ortis) Aqu(itanorum) / ann(orum) XLV / stip(endiorum) XXV / dom(o) Camu&lt;l?=I&gt;(oduno?) / TARPOLIE / [------] ,Tarcho Tarbunnis filio militi cohortis Aquitanorum annorum XLV stipendiorum XXV domo Camu lt l=I gt oduno TARPOLIE,epitaph,epitaph,NULL,,,,Dalmatia,Dalmatia,Solin / Salona,Salonae,Split,"milites, nomen singulare, viri",43.5384,16.4743,1
223,2560,470562,EDCS-10000768,HD034202,41,74,,,,,------?] / [---]Q[---] / [--- equ]es alae / [novae] Cla(udiae) dupli/[car(ius)] annor(um) XL / [stip(endiorum)] XXII h(ic) s(itus) est / [Ti(berius) C]laud(ius) Sabi/[nin]us decurio / [he]res pos(u)it t(estamento) f(ieri) i(ussit),Q eques alae novae Claudiae duplicarius annorum XL stipendiorum XXII hic situs est Tiberius Claudius Sabininus decurio heres posuit testamento fieri iussit,epitaph,epitaph,tabula,,,,Dalmatia,Dalmatia,Ruzic / Balijna Glavica / Municipium Magnum,Municipium Magnum,"Drniš - Ružić, zwischen","milites, tria nomina, viri",43.8047,16.2988,1
3,9,467876,EDCS-28600128,HD062295,51,74,"yes, not_after",Cesarik,,,Surus Sparuci f(ilius) / dom(o) Tribocus / eques alae Claud/iae novae ann(orum) XXX / stip(endiorum) XIII h(ic) s(itus) e(st) t(estamento) f(ieri) i(ussit) / arbitratu Celati ses/quiplicari(i) heredis,Surus Sparuci filius domo Tribocus eques alae Claudiae novae annorum XXX stipendiorum XIII hic situs est testamento fieri iussit arbitratu Celati sesquiplicarii heredis,epitaph,epitaph,NULL,,,,Dalmatia,Dalmatia,?,Municipium Magnum,Drniš,"milites, nomen singulare, viri",43.8047,16.2988,1
5,67,467991,EDCS-20601178,HD039812,6,75,"yes, both",Both Cesarik and Radman,,,Tures Alburi / f(ilius) eq(ues) coh(ortis) I / Bracaraugus(tanorum) / ann(orum) XXV stip(endiorum) VII / h(ic) s(itus) est h(eres) p(osuit),Tures Alburi filius eques cohortis I Bracaraugustanorum annorum XXV stipendiorum VII hic situs est heres posuit,epitaph,epitaph,stele,,,,Dalmatia,Dalmatia,Bigeste,Bigeste,Ljubuški,"milites, nomen singulare, viri",43.1818,17.5271,1
6,68,467992,EDCS-20601179,HD039821,6,75,"yes, both",Both Cesarik and Radman,,,Veranus Caturonis / f(ilius) eq(ues) coh(ortis) I Bracaraug(ustanorum) / turma Tironis ann(norum) / XXXIIX stipendiorum / XVIII h(ic) s(itus) e(st) t(estamento) f(ieri) i(ussit) / h(eredes) p(osuerunt) / Tiro dec(urio) et Crispus / Caturonis,Veranus Caturonis filius eques cohortis I Bracaraugustanorum turma Tironis annnorum XXXIIX stipendiorum XVIII hic situs est testamento fieri iussit heredes posuerunt Tiro decurio et Crispus Caturonis,epitaph,epitaph,stele,,,,Dalmatia,Dalmatia,Bigeste,Bigeste,Ljubuški,"milites, nomen singulare, viri",43.1818,17.5271,1
233,2757,470763,EDCS-55701984,HD065346,51,80,,,,,C(aius) Iulius Mara / veter(anus) coh(ortis) II / Cyrrhestar(um) ann(orum) XC / dom(o) Ber(o)ea t(estamento) f(ieri) i(ussit) / Magnus lib(ertus) idemque / heres posuit,Caius Iulius Mara veteranus cohortis II Cyrrhestarum annorum XC domo Beroea testamento fieri iussit Magnus libertus idem que heres posuit,epitaph,epitaph,altar,,,,Dalmatia,Dalmatia,Solin / Salona,Salonae,Solin,"liberti/libertae, milites, nomen singulare, tria nomina, viri",43.5384,16.4743,1
149,1232,469196,EDCS-10000855,HD011485,70,80,,,,,Imerix Servofr/edi f(ilius) Batavos(!) / eq(ues) ala(e) / Hispano/[rum I] / [a]nnor(um) XXVIII / stip(endiorum) VIII / [h(ic)] s(itus) e(st) // [---]azicico / [---] et Apulo / [---]co Aetoris f(ilio) / [he?]res,Imerix Servofredi filius Batavos eques alae Hispanorum I annorum XXVIII stipendiorum VIII hic situs est azicico et Apulo co Aetoris filio heres,epitaph,epitaph,stele,,,,Dalmatia,Dalmatia,Ivosevci / Burnum,Burnum,Kistanje,"milites, nomen singulare, viri",44.0317,15.9936,1
133,1210,469174,EDCS-32700570,HD061336,69,86,,,,,P(ublio) Carsidi/o P(ubli) f(ilio) Gal(eria) / Calvo Lugd(uno) / aquilifero / leg(ionis) IIII F(laviae) f(elicis) ann{n}(orum) / XLI stip(endiorum) XIIX / h(ic) s(itus) e(st),Publio Carsidio Publi filio Galeria Calvo Lugduno aquilifero legionis IIII Flaviae felicis annnorum XLI stipendiorum XIIX hic situs est,epitaph,epitaph,stele,,,,Dalmatia,Dalmatia,Ivosevci / Burnum,Burnum,Kistanje,"milites, tria nomina, viri",44.0317,15.9936,1
139,1217,469181,EDCS-04600017,HD039874,70,86,,,,,Q(uinto) Iu(l)io Ar(nensi) / Felici mil(iti) / leg(ionis) IIII F(laviae) F(elicis) / ann(orum) XL sti(pendiorum) XIIX / t(estamento) f(ieri) i(ussit) / [Q(uintus)?] Iulius Caesa[rus?],Quinto Iulio Arnensi Felici militi legionis IIII Flaviae Felicis annorum XL stipendiorum XIIX testamento fieri iussit Quintus Iulius Caesarus,epitaph,epitaph,stele,,,,Dalmatia,Dalmatia,Ivosevci / Burnum,Burnum,Kistanje,"milites, tria nomina, viri",44.0317,15.9936,1
27,366,468307,EDCS-27400590,HD053297,6,96,"yes, both",Cesarik (66); Radman,"possibly also before 50 CE, because it moves to Tilurium after Tiberius",,Sabinae Herme/tis N(ovi) P(ersici) et Noviae Do/natae et No(vio) Hermae / Sabinus per(!) suis fecit / &lt;et=DE&gt;(?) Sabinino mil(ite) / coh(ortis) VIII vol(untiariorum) an(norum) XXII ,Sabinae Hermetis Novi Persici et Noviae Donatae et Novio Hermae Sabinus per suis fecit lt etE gt Sabinino milite cohortis VIII voluntiariorum annorum XXII,epitaph,epitaph,NULL,,,,Dalmatia,Dalmatia,Cavtat / Epidaurum,Epidaurum,Dubrovnik,"milites, mulieres, nomen singulare, tria nomina, viri",42.5848,18.2137,1
82,981,468934,EDCS-28300070,HD061927,59,96,"yes, both",Cesarik (70),,,L(ucio) Terentio / L(uci) f(ilio) Claud(ia) / Severo Cel(eia) / mil(iti) coh(ortis) VIII / vexillar(io) ann(orum) / XXX stipend(iorum) XIV / L(ucius) Aebutius / Felix posui[t],Lucio Terentio Luci filio Claudia Severo Celeia militi cohortis VIII vexillario annorum XXX stipendiorum XIV Lucius Aebutius Felix posuit,epitaph,epitaph,NULL,,,,Dalmatia,Dalmatia,Gornji Muc / Andetrium,Andetrium,Muć,"milites, tria nomina, viri",43.6922,16.5206,1
84,984,468937,EDCS-30200136,HD054442,69,96,"yes, both",Cesarik (69); Matijevic 2017,,,Ser(vius) Ennius Ser(vi) f(ilius) / Claudia Fuscus / domo Cemeneli / miles coh(ortis) VIII vol(untariorum) / stip(endiorum) XVIIII ann(orum) XXXIIX / Fulvia Vitalis v(iva) f(ecit) sibi / et coniugi b(ene) m(erenti) {f(ecit)} / h(oc) m(onumentum) h(eredem) n(on) s(equetur),Servius Ennius Servi filius Claudia Fuscus domo Cemeneli miles cohortis VIII voluntariorum stipendiorum XVIIII annorum XXXIIX Fulvia Vitalis viva fecit sibi et coniugi bene merenti fecit hoc monumentum heredem non sequetur,epitaph,epitaph,stele,,,,Dalmatia,Dalmatia,Gornji Muc / Andetrium,Andetrium,Muć,"milites, mulieres, tria nomina, viri",43.6922,16.5206,1
194,1805,469790,EDCS-57200021,HD053958,1,100,,,,,[--- mil(es)? leg(ionis)] / VIII A[ug(ustae)] / domo [---] t(estamento) f(ieri) i(ussit) / [------],miles legionis VIII Augustae domo testamento fieri iussit,epitaph,epitaph,stele,,,,Dalmatia,Dalmatia,Manastirine / Salona,Salonae,Solin,"milites, viri",43.5384,16.4743,1
19,289,468219,EDCS-31200487,HD061354,1,100,no,,legio XI given by Cesarik in 2021,,------](?) / [---]GII[---] / [---] Qui(rina) Rega[liano?] / [---] A[u]g(usto) Ne[meto] / [---] mil(es) leg(ionis) I[III? Fl(aviae)? ---] / [h(ic)] s(itus) e(st),GII Quirina Regaliano Augusto Nemeto miles legionis IIII Flaviae hic situs est,epitaph,epitaph,NULL,,,,Dalmatia,Dalmatia,Burnum,Burnum,Kistanje,"milites, viri",44.0317,15.9936,1
42,676,468626,EDCS-00380803,HD039997,1,100,,,,,C(aius) Iulius Bar/cenei f(ilius) The/odorus m/iles coh(ortis) II / Cyrrhesta/rum annor(um) / LXV stipen(diorum) XLII / h(ic) s(itus) e(st) pos(u)it / C(aius) Iulius Scapula // frat(er),Caius Iulius Barcenei filius Theodorus miles cohortis II Cyrrhestarum annorum LXV stipendiorum XLII hic situs est posuit Caius Iulius Scapula frater,epitaph,epitaph,stele,,,,Dalmatia,Dalmatia,Dugopolje / Salona,Salonae,Dugopolje,"milites, nomen singulare, tria nomina, viri",43.5384,16.4743,1
43,677,468627,EDCS-00380804,HD039998,1,100,,,,,C(aius) Iulius An/dromachus / miles coh(ortis) II / Cyrrestar(um) / ann(orum) LXV stipend(iorum) / XXXX / C(aius) Iulius Apolla / sodalis vo(tum) posuit,Caius Iulius Andromachus miles cohortis II Cyrrestarum annorum LXV stipendiorum XXXX Caius Iulius Apolla sodalis votum posuit,epitaph,epitaph,stele,,,,Dalmatia,Dalmatia,Dugopolje / Salona,Salonae,Dugopolje,"milites, sacerdotes pagani, tria nomina, viri",43.5384,16.4743,1
68,839,468791,EDCS-31900030,HD058795,1,100,,,,,Sex(tus) Cornelius / Sex(ti) f(ilius) Camilia / nonan(orum?) veter(anus) / [-]I(?)[---] / [------,Sextus Cornelius Sexti filius Camilia nonanorum veteranus I,epitaph,epitaph,stele,,,,Dalmatia,Dalmatia,Gardun / Tilurium,Tilurium,Trilj,"milites, praenomen et nomen, viri",43.6139,16.689,1
69,840,468792,EDCS-31900031,HD061690,1,100,,,,,C(aius) Parp[--](?) Fab(ia)(?) / [-]ARE[--]C[-]X / annorum XLV / stipendior(um) XVI / N[---],Caius Parp Fabia ARE C X annorum XLV stipendiorum XVI N,epitaph,epitaph,NULL,,,,Dalmatia,Dalmatia,Gardun / Tilurium,Tilurium,Trilj,"milites, viri",43.6139,16.689,1
189,1749,469727,EDCS-10000219,HD021802,1,100,,,,,------] / equ(es) c(o)ho(rtis) I[II] / Alpin(a)e domo / Vercianus an(norum) / XXXVIII stip(endiorum) XIIII / t(estamento) f(ieri) i(ussit) h(eres) p(osuit) h(ic) s(itus) e(st),eques cohortis III Alpinae domo Vercianus annorum XXXVIII stipendiorum XIIII testamento fieri iussit heres posuit hic situs est,epitaph,epitaph,stele,,,,Dalmatia,Dalmatia,Ljubuski / Mlade / Bigeste,Bigeste,Ljubuški,"milites, viri",43.1818,17.5271,1
180,1621,469598,EDCS-28400307,HD060591,1,100,,,,,------] / Maxi[mus] / miles le[g(ionis)] / VIII Au[g(ustae)] / mil(itavit) a[nn(os)] / [------,Maximus miles legionis VIII Augustae militavit annos,epitaph,epitaph,NULL,,,,Dalmatia,Dalmatia,Labin / Alvona,Albona,Labin,"milites, viri",45.0949,14.1232,1
87,997,468950,EDCS-10100909,HD021255,1,100,,,,,------] / [---] Valer[ius] / Messor imag[inifer] / posui[t],Valerius Messor imaginifer posuit,epitaph,epitaph,NULL,,,,Dalmatia,Dalmatia,Gornji Muc / Andetrium,Andetrium,Muć,"milites, tria nomina, viri",43.6922,16.5206,1
100,1097,469055,EDCS-10100872,HD024005,1,100,,,,,Meduttus / Caturonis / f(ilius) miles coh(ortis) I / Bracaraug/ustanoru[m] / ann(orum) XXX s[tip(endiorum)] / [------?,Meduttus Caturonis filius miles cohortis I Bracaraugustanorum annorum XXX stipendiorum,epitaph,epitaph,stele,,,,Dalmatia,Dalmatia,Hardomilje / Bigeste,Bigeste,Ljubuški,"milites, nomen singulare, viri",43.1818,17.5271,1
105,1106,469064,EDCS-66200163,HD056521,1,100,,,,,L(ucius) Oppius L(uci) [f(ilius) ---] / Ser(gia) Signinus do/mo Con(s)tan(ti)a vet(eranus) / leg(ionis) VII annor(um) LXXI / h(ic) s(itus) e(st),Lucius Oppius Luci filius Sergia Signinus domo Constantia veteranus legionis VII annorum LXXI hic situs est,epitaph,epitaph,NULL,,,,Dalmatia,Dalmatia,Hardomilje / Bigeste,Bigeste,Ljubuški,"milites, tria nomina, viri",43.1818,17.5271,1
111,1116,469074,EDCS-31900309,HD056460,1,100,,,,,Vanaius Venio[n?]t(i?) fi(lius) / domo Bodion[t(icus)? e]q(ues) coh(ortis) / III Alp(inorum) an(norum) LIIII stip(endiorum) XXV / h(ic) s(itus) e(st) Valeria et / Marcella p(osuerunt),Vanaius Venionti filius domo Bodionticus eques cohortis III Alpinorum annorum LIIII stipendiorum XXV hic situs est Valeria et Marcella posuerunt,epitaph,epitaph,NULL,,,,Dalmatia,Dalmatia,Humac / Bigeste,Bigeste,Ljubuški,"milites, mulieres, tria nomina, viri",43.1818,17.5271,1
114,1122,469080,EDCS-10100861,HD034234,1,100,,,,,L(ucius) Oppius L(uci) [f(ilius)] Ser(gia) Segninus domo Conana vet(eranus) leg(ionis) VII annor(um) LXX,Lucius Oppius Luci filius Sergia Segninus domo Conana veteranus legionis VII annorum LXX,epitaph,epitaph,NULL,,,,Dalmatia,Dalmatia,Humac / Bigeste,Bigeste,Ljubuški,"milites, tria nomina, viri",43.1818,17.5271,1
132,1209,469173,EDCS-32700569,HD061335,1,100,,,,,[---] Caesius / [---]cla Secu/[ndu]s Iu(v)av(o) mil(es) / [---] O(?)I(?)I(?)C(?)A / [---] / [------?,Caesius cla Secundus Iuvavo miles OIICA,epitaph,epitaph,stele,,,,Dalmatia,Dalmatia,Ivosevci / Burnum,Burnum,Kistanje,"milites, tria nomina, viri",44.0317,15.9936,1
153,1248,469212,EDCS-10101842,HD035398,1,100,,,,,------?] / [---]io P(ubli)(?) / [f(ilio) ---]sso do/[mo? --- s]ignif(er) / [---] stip(endiorum) XXIII / [---]ola / [---]o / [------,io Publi filio sso domo signifer stipendiorum XXIII ola o,epitaph,epitaph,stele,,,,Dalmatia,Dalmatia,Ivosevci / Burnum,Burnum,Kistanje,"milites, tria nomina, viri",44.0317,15.9936,1
155,1250,469214,EDCS-10101844,HD035402,1,100,,,,,C(aius) Vatern(ius) / C(ai) f(ilius) Lem(onia) / Aprio Bon(onia) / stip&lt;e=F&gt;(ndiorum) XIX / h(eres) f(aciendum) c(uravit) ,Caius Vaternius Cai filius Lemonia Aprio Bononia stip lt e gt ndiorum XIX heres faciendum curavit,epitaph,epitaph,stele,,,,Dalmatia,Dalmatia,Ivosevci / Burnum,Burnum,Kistanje,"milites, tria nomina, viri",44.0317,15.9936,1
188,1748,469726,EDCS-10000218,HD021799,1,100,,,,,Betulo Karo/nis f(ilius) domo / Eguius mil(es) / coh(ortis) III Alp(inorum) / an(norum) XL stip(endiorum) XXII / h(ic) s(itus) e(st) t(estamento) f(ieri) i(ussit) / Valerius sig(nifer) / h(eres) p(osuit),Betulo Karonis filius domo Eguius miles cohortis III Alpinorum annorum XL stipendiorum XXII hic situs est testamento fieri iussit Valerius signifer heres posuit,epitaph,epitaph,stele,,,,Dalmatia,Dalmatia,Ljubuski / Mlade / Bigeste,Bigeste,Ljubuški,"milites, nomen singulare, viri",43.1818,17.5271,1
213,2192,470190,EDCS-28400292,HD014821,1,100,,,,,[A]cilia L(uci) f(ilia) Quincta v(iva) f(ecit) s(ibi) et Se[x(to)] / [A]quillio viro suo h(eredi) [et] / [L(ucio)] Aquillio Sex(ti) f(ilio) [C]la(udia) Longo f(ilio) de[c(urioni) ---],Acilia Luci filia Quincta viva fecit sibi et Sexto Aquillio viro suo heredi et Lucio Aquillio Sexti filio Claudia Longo filio decurioni,epitaph,epitaph,tabula,,,,Dalmatia,Dalmatia,Plomin / Flanona,Flanona,Kršan,"milites, mulieres, ordo decurionum, praenomen et nomen, tria nomina",45.1382,14.1801,1
217,2418,470419,EDCS-10101964,HD004919,1,100,,,,,Liccaeus Vei f(ilius) / |(centurio) de liburna / Lucusta / testamento / fieri iussit arbit(ratu) / Dabali Triti / heredis / a(mico) mer(enti) an(norum) XXX / loc(o) publ(ice) dat(o),Liccaeus Vei filius centurio de liburna Lucusta testamento fieri iussit arbitratu Dabali Triti heredis amico merenti annorum XXX loco publice dato,epitaph,epitaph,stele,,,,Dalmatia,Dalmatia,Punta Kriza,Apsorus,Mali Lošinj,"milites, nomen singulare, viri",44.693,14.3919,1
231,2700,470703,EDCS-30600024,HD061593,1,100,,,,,P(ublius) Cornelius P(ubli) f(ilius) Eporediensis / mil(es) leg(ionis) XI ann(orum) XXX stip(endiorum) VIII,Publius Cornelius Publi filius Eporediensis miles legionis XI annorum XXX stipendiorum VIII,epitaph,epitaph,NULL,,,,Dalmatia,Dalmatia,Skradin / Scardona,Scardona,Skradin,"milites, tria nomina, viri",43.8227,15.9208,1
249,2934,470947,EDCS-27601580,HD054712,1,100,,,,,Cloutius Clutami f(ilius) / duplicarius alae / Pannonior(um) Susarru(s) / domo Curunniace / an(norum) XXXV stipen(diorum) XI[-?] / [h(ic)] s(itus) est pos(u)it CA[---] / [------,Cloutius Clutami filius duplicarius alae Pannoniorum Susarrus domo Curunniace annorum XXXV stipendiorum XI hic situs est posuit CA,epitaph,epitaph,NULL,,,,Dalmatia,Dalmatia,Solin / Salona,Salonae,Solin,"milites, nomen singulare, viri",43.5384,16.4743,1
250,2935,470948,EDCS-27601581,HD054713,1,100,,,,,L(ucius) Corneli/us L(uci) &lt;f=E&gt;(ilius) Mae(cia) / Pelagonia ve&lt;t=R&gt;(eranus) / leg(ionis) XI / ann(orum) XLV stip(endiorum) XXV / h(ic) s(itus) e(st) fili(i) p(osuerunt) ,Lucius Cornelius Luci lt f gt ilius Maecia Pelagonia ve lt t gt eranus legionis XI annorum XLV stipendiorum XXV hic situs est filii posuerunt,epitaph,epitaph,NULL,,,,Dalmatia,Dalmatia,Solin / Salona,Salonae,Solin,"milites, praenomen et nomen, viri",43.5384,16.4743,1
251,2937,470950,EDCS-27601583,HD054720,1,100,,,,,C(aius) Curiatius T(iti) f(ilius) Serg(ia) / Secundus dom(o) Augusta / Troade vet(eranus) leg(ionis) VII C(laudiae) p(iae) f(idelis) / scrib[a] Salonis annor(um) LXV h(ic) s(itus) e(st) / [in fr(onte) p(edes) --- in agr(o)] p(edes) XX,Caius Curiatius Titi filius Sergia Secundus domo Augusta Troade veteranus legionis VII Claudiae piae fidelis scriba Salonis annorum LXV hic situs est in fronte pedes in agro pedes XX,epitaph,epitaph,NULL,,,,Dalmatia,Dalmatia,Solin / Salona,Salonae,Solin,"milites, ordo decurionum, tria nomina, viri",43.5384,16.4743,1
315,3656,471701,EDCS-28700951,HD043447,1,100,,,,,------?] / [-] Ca[l]p[urnio] / [- f(ilio)] Tro(mentina) Ma[ximo] / [pr]aef[e]cto [cohor]/[tis I] L[u]cen[sium] / [pr]aef[e]cto [---] / [--- ce]nturi[o]ni le[g(ionis) ---] / an(nos) [XXXX?]V m[ens(es)] [---] / C[alpurn]ia [---] / [marito? b]en[e merenti] / [et si]bi [e]t fi[liis? suis?],Calpurnio filio Tromentina Maximo praefecto cohortis I Lucensium praefecto centurioni legionis annos XXXXV menses Calpurnia marito bene merenti et sibi et filiis suis,epitaph,epitaph,stele,,,,Dalmatia,Dalmatia,Solin / Salona,Salonae,Split,"milites, ordo equester, tria nomina, viri",43.5384,16.4743,1
